,group,longitude,latitude,coordinates,name
0,1,1.359167,103.989441,"1.359167,103.989441",Changi Airport
1,2,1.285564292,103.8340759,"1.28556429182439,103.834075884942",New Cape Inn
2,3,1.309290855,103.8580276,"1.30929085528988,103.858027585848",AQUEEN Hotel - Kitchener
3,4,1.298469626,103.854867,"1.29846962637,103.854867046362",InterContinental Singapore
4,5,1.255933873,103.8192799,"1.25593387293635,103.819279861729",Crockfords Tower
5,6,1.306345336,103.8332833,"1.3063453359855,103.833283334569",Grand Hyatt Singapore
6,7,1.311547918,103.9005825,"1.31154791813894,103.900582467694",Venue Hotel The Lily
7,8,1.311785807,103.8795654,"1.31178580684439,103.879565363057",Hotel 81 - Geylang
8,9,1.28341894,103.8456568,"1.28341894026954,103.845656808105",The Southbridge Hotel
9,10,1.325225974,103.8499166,"1.32522597394005,103.849916615644",RedDoorz Premium @ Balestier
